ID;Match;FieldAdvantage;OutcomeWL;PointsWon;Result;GoalsMade;GoalsTaken;BallPoss;Shots;ShotsOnT;ShotsPrec;PassAtt;PassSucc;PassPrec;RosterQuality;Knowledge;YellowC;RedC;FoulsC;FoulsT;TacklesW;TacklesAtt;TacklesWRatio;AirDuelW;DribW;DribAtt;DribWRatio
PLCa1;15/08/2016 Chelsea-West Ham United;H;W;3;2 a 1;2;1;61,70%;16;7;43,75%;480;556;86,33%;365500000;136,3571429;5;0;16;16;18;21;85,71%;49%;16;33;48,49%
PLCa2;20/08/2016 Watford-Chelsea;A;W;3;1 a 2;2;1;62,40%;13;4;30,77%;488;560;87,14%;378500000;149,7142857;3;0;10;20;17;26;65,39%;57%;11;25;44,00%
PLCa3;27/08/2016 Chelsea - Burnley;H;W;3;3 a 0;3;0;60,10%;22;10;45,46%;545;626;87,06%;365500000;136,3571429;2;0;6;9;9;16;56,25%;50%;11;23;47,83%
PLCa4;11/09/2016 Swansea-Chelsea;A;D;1;2 a 2;2;2;55,10%;28;7;25,00%;416;488;85,25%;387500000;154,5;4;0;9;17;18;23;78,26%;53%;9;22;40,91%
PLCa5;16/09/2016 Chelsea-Liverpool;H;L;0;1 a 2;1;2;52,70%;12;4;33,33%;474;540;87,78%;422500000;127,7857143;1;0;6;13;18;34;52,94%;48%;22;35;62,86%
PLCa6;24/09/2016 Arsenal-Chelsea;A;L;0;3 a 0;0;3;50,20%;9;2;22,22%;445;535;83,18%;383000000;105,2857143;2;0;11;9;24;35;68,57%;61%;9;20;45,00%
PLCa7;1/10/2016 Hull City-Chelsea;A;W;3;0 a 2;2;0;59,10%;22;9;40,91%;460;554;83,03%;378000000;90,21428571;2;0;15;13;19;22;86,36%;60%;18;30;60,00%
PLCa8;15/10/2016 Chelsea-Leicester;H;W;3;3 a 0;3;0;54,90%;16;6;37,50%;458;553;82,82%;317000000;75,78571429;1;0;6;12;19;24;79,17%;58%;17;23;73,91%
PLCa9;23/10/2016 Chelsea-Manchester United;H;W;3;4 a 0;4;0;43,90%;14;6;42,86%;364;447;81,43%;358500000;70,35714286;3;0;7;17;18;25;72,00%;44%;12;21;57,14%
PLCa10;30/10/2016 Southampton-Chelsea;A;W;3;0 a 2;2;0;45,20%;13;7;53,85%;325;409;79,46%;365500000;98,85714286;0;0;16;13;27;35;77,14%;47%;13;21;61,91%
